"Source","Citation"
"2021 SCMR 552","MANZOOR AHMAD MALIK"
"2021 SCMR 552","A. No.2062 of 2020"
"2021 SCMR 552","FIR No.148"
"2021 SCMR 503","Criminal Petition No.2078/2020"
"2021 SCMR 503","Criminal Petition No."
"2021 SCMR 503","FIR No. 36/2019"
"2021 SCMR 503","PLD 2015 SC 50"
"2021 SCMR 503","PLD 2014 SC 488"
"2021 SCMR 503","2020 SCMR 2147"
"2021 SCMR 503","PLD 2017 SC 265]"
"2021 SCMR 503","PLD 2014 SC 488]"
"2021 SCMR 503","PLD 2014 SC 1]"
"2021 SCMR 503","2004 SCMR 1934"
"2021 SCMR 503","2002 SCMR 1985]"
"2021 SCMR 503","2001 SCMR 827"
"2021 SCMR 503","2000 SCMR 866"
"2021 SCMR 503","1999 SCMR 1904]"
"2021 CLC 612","2000 CLC 1018"
"2021 CLC 612","2008 CLC 43"
"2021 CLC 612","2012 SCMR 695"
"2021 CLC 612","PLD 2016 Peshawar 8)."
"2021 SCMR 474","PLD 1992 SC 207"
"2021 SCMR 474","Special Allowance"
"2021 SCMR 474","2005 SCMR 1490"
"2021 SCMR 474","PLD 2013 SC 829"
"2021 SCMR 492","Abdul Latif Gul"
"2021 SCMR 557","MANZOOR AHMAD MALIK"
"2021 SCMR 557","FIR No.20"
"2021 PLD 373","of the"
"2021 PLD 373","2013 SCMR 464"
"2021 PLD 373","Rule 1 of Order XXIII, was in substance in terms of Rule 2(b"
"2021 PLD 373","counsel contended that if at all"
"2021 PLD 373","2013 SCMR 464"
"2021 PLD 373","1970 SCMR 141"
"2021 PLD 373","2013 SCMR 464"
"2021 SCMR 461","Service Appeal hearing No. 1105(L)CS of 1997"
"2021 SCMR 461","PLD 2006 SC 602"
"2021 SCMR 461","PLD 2007 SC 681"
"2021 SCMR 461","paragraph 14(b) of the judgment of a"
"2021 SCMR 461","PLD 2007 SC 681"
"2021 SCMR 461","2007 SCMR 1698"
"2021 SCMR 461","serial Nos. 89 to 1914"
"2021 SCMR 461","GHS/VSS"
"2021 SCMR 461","GHS/VSS"
"2021 SCMR 461","GHS/VSS"
"2021 SCMR 531","FIR No.1372/2007"
"2021 SCMR 531","2010 SCMR 1962"
"2021 SCMR 531","2016 SCMR 621"
"2021 SCMR 531","2011 SCMR 1954"
"2021 SCMR 352","FIR No. 343/2019"
"2021 SCMR 548","2000 SCMR 1312"
"2021 SCMR 548","PLD 2017 SC 53"
"2021 CLC 400","2019 YLR 1756"
"2021 CLC 400","March 2003"
"2021 CLC 400","CDA Letter No. CDA"
"2021 CLC 400","CDA/EM-27(1223)/83 Dated 11-06-1983"
"2021 CLC 400","CDA On 16-06-1983"
"2021 CLC 400","CDA Letter No. CDA"
"2021 CLC 400","in order to"
"2021 CLC 400","CDA bearing No.CDA"
"2021 CLC 400","1972 SCMR 237"
"2021 CLC 400","1989 SCMR 640"
"2021 CLC 400","1994 SCMR 22]"
"2021 CLC 400","PLD 2001 SC 131]"
"2021 CLC 400","2003 SCMR 1202]"
"2021 CLC 400","2005 SCMR 668"
"2021 CLC 400","PLD 2005 Lahore 331]"
"2021 CLC 400","2003 SCMR 1202"
"2021 CLC 400","PLD 2001 SC 131"
"2021 CLC 400","2019 YLR 1756]"
"2021 PCrLJ 285","FIR Nos.164, 165 and 166 of 2018"
"2021 PCrLJ 285","Rana Tariq,"
"2021 PCrLJ 285","ASI Najaf Ali"
"2021 PCrLJ 285","FIR No.164/2018"
"2021 PCrLJ 285","ASI Najaf Ali"
"2021 PCrLJ 285","P.C Faizullah but dead body of accused"
"2021 PCrLJ 285","ASI Najaf Ali"
"2021 PCrLJ 285","23.8.2018 at about"
"2021 PCrLJ 285","ASI Najaf Ali"
"2021 PCrLJ 285","ASI Najaf Ali"
"2021 PCrLJ 285","Investigation Officer. It also can"
"2021 PCrLJ 285","ASI Najaf Ali"
"2021 PCrLJ 285","ASI Najaf Ali"
"2021 PCrLJ 285","ASI Najaf Ali"
"2021 PLD 379","Constitutional Petition (W.P. No. 2058 of 2020"
"2021 PLD 379","the appointments of Respondents Nos.6 to 13"
"2021 PLD 379","Special Assistants to"
"2021 PLD 379","the Prime Minister under Rule 4(6) of the Rules of Business, 1973"
"2021 PLD 379","PLD 2017 Supreme Court 265"
"2021 PLD 379","Respondents Nos.6 to 13"
"2021 PLD 379","Respondents Nos.6 to 13"
"2021 PLD 379","PLD 2012 SC 1089"
"2021 PLD 379","PLD 2013 Supreme Court 413"
"2021 PLD 379","out of Respondents Nos.6 to 13"
"2021 PLD 379","PLD 2018 Supreme Court 114"
"2021 PLD 379",". These two categories may contain some restrictions"
"2021 PLD 379","Respondents Nos.6 to 13"
"2021 PLD 379","Sr.No.1A of Schedule-VA of the said rules, the Prime Minister of Pakistan"
"2021 PLD 379","and determine his"
"2021 PLD 379","Respondents Nos.6 to 13"
"2021 PLD 379","Constitution Petition No.63 of 2018"
"2021 PLD 379","/SC\n Petition dismissed"
"2021 SCMR 451","FIR No.150 dated"
"2021 PCrLJ 205","W.P. No.27421/2020"
"2021 PCrLJ 205","L\n \n Petition"
"2021 SCMR 369","Nhasra No. 492"
"2021 SCMR 369","Mouza Narri"
"2021 SCMR 600","C.M.A. No. 11072 of 2019"
"2021 SCMR 391","District Officer (Revenue)"
"2021 SCMR 391","EDO"
"2021 SCMR 391","Respondents Nos. 2 to 9"
"2021 MLD 370","Notification No.So(IS"
"2021 MLD 370","Zone)"
"2021 MLD 370","Notification No.So(IS"
"2021 MLD 370","W.P. No.7461 of 2011"
"2021 MLD 370","2017 SCMR 2066"
"2021 MLD 370","the Red Zone Policy."
"2021 MLD 370","2020 CLC 157"
"2021 MLD 370","AIR 1993 Kerala 1"
"2021 MLD 370",", Home Department, Government of the Punjab, Lahore"
"2021 MLD 370","Establishment and Security) Act, 2018"
"2021 MLD 370","Act 2018"
"2021 MLD 370","(IS)"
"2021 MLD 370","Establishment"
"2021 MLD 370","Notification No.SO(IS-II)1-1/2004"
"2021 MLD 370","Additional Secretary ("
"2021 MLD 370","Zones ("
"2021 MLD 370","W.P. No.13302 of 2018"
"2021 MLD 370","2012 SCMR 1784"
"2021 MLD 370","No.15 of 2009"
"2021 MLD 370","PLD 2012 SC 610"
"2021 MLD 370","2020 SCMR 622"
"2021 MLD 370","Province of"
"2021 MLD 370","and other local authorities under the respective laws, that: \n(1)"
"2021 MLD 370","Assembly. \n(2)"
"2021 MLD 370",". \n(3)"
"2021 MLD 370","the State"
"2021 MLD 370","W.P. No.13302 of 2018"
"2021 SCMR 512","Human Rights Case No.318 of 1993"
"2021 SCMR 512","(MCI)"
"2021 SCMR 512","the Local Government will"
"2021 SCMR 512","C.M.A. No.3830 of 2020"
"2021 SCMR 512","H.R.M.A. No. 7826 of 2020"
"2021 SCMR 512","C.M.As. Nos. 7645, 5895 to 5898 of 2018"
"2021 SCMR 512","and Representatives of Karachi Steel, Pak Iron Casting, Mustehqam Steel and Siddique Steel Mills"
"2021 SCMR 512","C.M.A. No.7258 of 2020"
"2021 SCMR 512","C.M.As. Nos. 2370 and 4699 of 2020"
"2021 SCMR 512","the Applicants. C.M.A. No.2370 of 2020"
"2021 SCMR 512","C.M.A. No.4699 of 2020"
"2021 SCMR 512","C.M.A. No.7258 of 2020"
"2021 SCMR 512","2606 of 2020"
"2021 SCMR 512","Qalb-e-Hassan"
"2021 SCMR 512","C.M.A. No.7258 of 2020"
"2021 SCMR 512","3958 of 2020"
"2021 SCMR 512","H.R.C. No.318 of 1993"
"2021 SCMR 512","C.M.A. No.3908 of 2020"
"2021 SCMR 512","C.M.A. No.3943 of 2020"
"2021 SCMR 512","3958 of 2020"
"2021 SCMR 512","C.M.A. No.3908 of 2020"
"2021 SCMR 512","C.M.A. No.7258 of 2020"
"2021 SCMR 512","C.M.A. No.3943 of 2020"
"2021 SCMR 512","C.M.As. Nos.3957 and 3958 of 2020"
"2021 SCMR 512","HRC No.318 of 1993"
"2021 SCMR 512","C.M.As. Nos. 3267 and 3275 of 2020"
"2021 SCMR 512","Deputy Commissioner, Rawalpindi. Both reports have been"
"2021 CLD 428","Human Rights Case No.318 of 1993"
"2021 CLD 428","(MCI)"
"2021 CLD 428","the Local Government will"
"2021 CLD 428","C.M.A. No.3830 of 2020"
"2021 CLD 428","H.R.M.A. No. 7826 of 2020"
"2021 CLD 428","C.M.As. Nos. 7645, 5895 to 5898 of 2018"
"2021 CLD 428","and Representatives of Karachi Steel, Pak Iron Casting, Mustehqam Steel and Siddique Steel Mills"
"2021 CLD 428","C.M.A. No.7258 of 2020"
"2021 CLD 428","C.M.As. Nos. 2370 and 4699 of 2020"
"2021 CLD 428","the Applicants. C.M.A. No.2370 of 2020"
"2021 CLD 428","C.M.A. No.4699 of 2020"
"2021 CLD 428","C.M.A. No.7258 of 2020"
"2021 CLD 428","2606 of 2020"
"2021 CLD 428","Qalb-e-Hassan"
"2021 CLD 428","C.M.A. No.7258 of 2020"
"2021 CLD 428","3958 of 2020"
"2021 CLD 428","H.R.C. No.318 of 1993"
"2021 CLD 428","C.M.A. No.3908 of 2020"
"2021 CLD 428","C.M.A. No.3943 of 2020"
"2021 CLD 428","3958 of 2020"
"2021 CLD 428","C.M.A. No.3908 of 2020"
"2021 CLD 428","C.M.A. No.7258 of 2020"
"2021 CLD 428","C.M.A. No.3943 of 2020"
"2021 CLD 428","C.M.As. Nos.3957 and 3958 of 2020"
"2021 CLD 428","HRC No.318 of 1993"
"2021 CLD 428","C.M.As. Nos. 3267 and 3275 of 2020"
"2021 CLD 428","Deputy Commissioner, Rawalpindi. Both reports have been"
"2021 SCMR 73","District Attock allowed Mst"
"2021 SCMR 73","Civil Petition No. 4459/2018, CITATION, 7005, 7033), (Commentary.)
2021 SCMR 73|Verse 152 of surah (6) Al-Anam of the Holy, CITATION, 8292, 8334), (Policy, which include the protection of, CITATION, 8902, 8942), (the child (Article 35, CITATION, 8955, 8977), (social evils (Article 37)
2021 SCMR 73|and authority of the State will act
2021 SCMR 73|2016 SCMR 986
2021 SCMR 73|2018 SCMR 30
2021 SCMR 73|2020 SCMR 601
2021 SCMR 73|PLD 1990 Supreme Court 1)
2021 SCMR 73|charges fees, but has, CITATION, 13654, 13675), (.\n11.\n In the present case Punjabs Revenue department made wrong entries in the Revenue record, the Auqaf and Religious Affairs department failed to ensure Almighty Allahs command to protect the rights of yatama and the Human Rights and Minorities Affairs department did not protect the rights of vulnerable females (five daughters/sisters)
2021 SCMR 73|Human Rights and Minorities Affairs department. The very purpose
2021 SCMR 73|the Holy
2021 SCMR 73|Secretary
2021 SCMR 73|Human Rights and Minorities Affairs department and to the
2021 CLC 488|, Phase-II,, CITATION, 953, 964), ( Old-
2021 CLC 488|age Benefit Institution of
2021 CLC 488|Plot No.66, which has a different acreage to Plot No.63A,"
"2021 CLC 488","the project on Plot No.66 were approved by the petitioner vide letter dated 26.06.2012, and the letter to commence the works was issued to"
"2021 CLC 488",".\n Clause 33 of the contract dated"
"2021 CLC 488","PLD 2003 SC 191"
"2021 CLC 488","2015 SCMR 742"
"2021 CLC 488","PLD 2019 Sindh 382"
"2021 CLC 488","2017 MLD 257"
"2021 CLC 488","2012 CLD 1192"
"2021 CLC 488","PLD 2015 Islamabad 13"
"2021 CLC 488","2010 SCMR 524"
"2021 CLC 488","(PLD 2020 Sindh 551"
"2021 CLC 488","SPA (GECX GROUP) v. Trading Corporation of Pakistan (2013 CLD 681"
"2021 CLC 488","AIR 2007 SC 2176"
"2021 CLC 488","AIR 1996 SC 2268)"
"2021 CLC 488","AIR 1996 SC 131"
"2021 CLC 488","2010 MLD 800"
"2021 CLC 488","1998 MLD 1461"
"2021 CLC 488","1994 CLC 726"
"2021 CLC 488","1989 CLC 2125"
"2021 CLC 488","PLD 1993 Karachi 190"
"2021 CLC 488","2019 CLC 1486"
"2021 CLC 488","Pakistan Railways v. Four"
"2021 CLC 488","Brothers International (Pvt.) Ltd. (PLD 2016 SC 199), it has been"
"2021 CLC 488","2002 SCMR 1269), Al-"
"2021 CLC 488","2019 CLC 1"
"2021 CLC 488","2007 MLD 2019"
"2021 CLC 488","1990 MLD 155"
"2021 CLC 488","2015 CLC 1121"
"2021 CLC 488","2015 CLC 1695"
"2021 CLC 488","PLD 2003 Karachi 222"
"2021 CLC 488","2001 CLC 838"
"2021 CLC 488","1990 MLD 155"
"2021 SCMR 363","FIR bearing No.424"
"2021 SCMR 363","Khan, S.I. the I.O."
"2021 SCMR 363","2012 but evidence"
"2021 SCMR 363",". Reliance"
"2021 SCMR 363","2019 SCMR 1300"
"2021 SCMR 363","ANF v. Imam Bakhsh and others (2018 SCMR 2039"
"2021 SCMR 363","SC\n \n Petition allowed"
"2021 CLC 515","Contract No.JIP"
"2021 CLC 515","ICS-P2"
"2021 CLC 515","ADB)"
"2021 CLC 515",") of Peoples Republic of China"
"2021 CLC 515","Joint Venture"
"2021 CLC 515","the Technical"
"2021 SCMR 483","deposit the installments or in"
"2021 SCMR 483","C.M.A. No. 503 of 2020"
"2021 MLD 223","Writ Petition No.2131/2020"
"2021 MLD 223","FIR No.56/2020"
"2021 MLD 223","Writ Petition No.2131/2020"
"2021 MLD 223","FIR Nos. 459/2018 and 20/2020"
"2021 MLD 223","FIR No.56/2020"
"2021 MLD 223","FIR No.56/2020"
"2021 MLD 223","FIR No.56/2020 in respect of"
"2021 MLD 223","FIR No.56/2020"
"2021 MLD 223","4) ... \n8"
"2021 MLD 223","AIR 1923 PC 148"
"2021 MLD 223","PLD 1993 SC 109"
"2021 PCrLJ 272","C.M.A. No.6206/2019"
"2021 PCrLJ 272","FIR 164/2018"
"2021 PCrLJ 272","FIR,"
"2021 PCrLJ 272",". The"
"2021 PCrLJ 272","Pizza Hut"
"2021 PCrLJ 272",", 165 and 166 of 2018"
"2021 PCrLJ 272","more I.O was part of the inquiry and investigation. They are PW-03, H.C Rana Tariq, Complainant and PW-04, SIP Muhammad Laeque Ghanghro need to be proceeded in terms of above law. Therefore,"
"2021 PCrLJ 272","ASI Najaf Ali"
"2021 PCrLJ 272","FIR No.164/2018"
"2021 PCrLJ 272","ASI Najaf Ali"
"2021 PCrLJ 272","P.C Faizullah but dead body of accused"
"2021 PCrLJ 272","ASI Najaf Ali"
"2021 PCrLJ 272","23.8.2018 at about"
"2021 PCrLJ 272","ASI Najaf Ali"
"2021 CLC 413","W.P. No.64233 of 2020"
"2021 CLD 7","civil and criminal"
"2021 CLD 7","courts and"
"2021 CLD 7","W.P. No.9629 of 2019"
"2021 CLD 7","Ministry of Commerce, Government of Pakistan to constitute Copyright Board for"
"2021 CLD 7","Petitioner and the Respondent No.2"
"2021 CLD 7","Respondent No.2. \n"
"2021 CLD 7","The Additional Registrar of Companies, Companies Registration Office, Lahore"
"2021 CLD 7","and Exchange Commission of Pakistan (SECP)"
"2021 CLD 7","Ms. Zeeshan Zia Raja, Director of the Company, had lodged a complaint"
"2021 CLD 7","creditors,"
"2021 CLD 7","2020 CLD 1060 (Sindh)"
"2021 CLD 7","2016 CLD 970"
"2021 CLD 7","2014 CLD 1683"
"2021 CLD 7","1992 MLD 668"
"2021 CLD 7","2013 CLD 1263"
"2021 CLD 7",", 1984"
"2021 CLD 7","intent and spirit of section 286 of the Act,"
"2021 CLD 7","the Commission"
"2021 CLD 7",", 2006"
"2021 CLD 7","Companies Act, 1948 (U.K.)"
"2021 CLD 7","W.P. No.9629 of 2019"
"2021 CLD 7","MWA/N-27/L"
"2021 SCMR 172","Review Petition No. 126/2018"
"2021 SCMR 172","Service Appeal No."
"2021 SCMR 172","Review Petition No. 126/2018"
"2021 SCMR 172","2010 SCMR 1458"
"2021 SCMR 172","Study Leave?\n8"
"2021 SCMR 172","its Review Judgment"
"2021 PLC 75","Criminal Appeal No.1705 of 2006"
"2021 PLC 75","W.P. No.4646 of 2013"
"2021 PLC 75",", Lahore"
"2021 PLC 75",") or if the"
"2021 PLC 75","PLD 2010 Supreme Court 705"
"2021 PLC 75","1999 SCMR 1326"
"2021 PLC 75","L\n \n Petition"
"2021 SCMR 179",")\n7, CITATION, 4330, 4333), ((6) Al-Anam of the Holy Quran, CITATION, 4703, 4733), (Constitution), CITATION, 4983, 4997), (Policy, which include the protection of, CITATION, 5293, 5333), (the child (Article 35, CITATION, 5346, 5368), (social evils (Article 37)
2021 SCMR 179|and authority of the State will act
2021 SCMR 179|2016 SCMR 986
2021 SCMR 179|2018 SCMR 30
2021 SCMR 179|2020 SCMR 601
2021 SCMR 179|PLD 1990 Supreme Court 1)
2021 SCMR 179|female members of
2021 PTD 43|W.P. No.26 of 2017
2021 PTD 43|W.P. No.862 of 2017
2021 PTD 43|2006 PTD 2066
2021 PTD 43|Notification No. S.R.O 578(I)/98
2021 PTD 43|Notification No. S.R.O
2021 SCMR 166|the Punjab
2021 SCMR 166|Serial No. 426
2021 SCMR 166|, SSP"
"2021 SCMR 166","PSP Officer vide Establishment Division Notification"
"2021 SCMR 166","by 11-04-2017"
"2021 SCMR 166","Civil Appeals Nos. 1122 and 1123 of 2011, 431 of 2013, 1343 of 2014"
"2021 SCMR 166","Criminal Appeal No.436 of 2011"
"2021 SCMR 166","ANNEX. A/18)"
"2021 SCMR 166","(PSP)"
"2021 SCMR 166","PSP Officer vide Notification"
"2021 SCMR 166","PSP Officer was revised"
"2021 SCMR 166","2015 SCMR 365, CITATION, 6536, 6549), (c deals, CITATION, 7375, 7383), (to clause b, between
2021 SCMR 166|the Armed Forces appointed in the same year
2021 SCMR 166|induction through initial appointment. However, there is no provision"
"2021 SCMR 166","from the Provinces. Rule 11 therefore only provides criteria for determining seniority within each group. Rule 11(2)(c"
"2021 SCMR 166",") is"
"2021 SCMR 166","Cadre"
"2021 SCMR 166","C.M.As. Nos. 7534 and 7535 of 2020"
"2021 SCMR 166","/SC\n Order"
"2021 MLD 453","ICA No.1554/2019"
"2021 MLD 453","in ICA No.78117/2019"
"2021 MLD 453","W.P. No.235395/2018"
"2021 MLD 453","ICA No.78117/2019"
"2021 MLD 453","PLD 2015 Lahore 220"
"2021 MLD 453","2016 CLC 1600"
"2021 MLD 453","W.P. No.235395/2018"
"2021 MLD 453","B.Sc Engineering. The impugned judgment considered the case of the Respondents and granted their prayer on the ground that the DAE is equivalent to Intermediate Examination of the Board of Intermediate and Secondary"
"2021 MLD 453","(F.Sc)"
"2021 MLD 453","Inter Board"
"2021 MLD 453","2019 CLC 1972"
"2021 MLD 453","2019 CLD 659"
"2021 MLD 453","PLD 2008 SC 577"
"2021 MLD 453","(2019 CLC 1156"
"2021 MLD 453","PLD 2017 Lahore 1)"
"2021 MLD 453","2020 MLD 1484"
"2021 MLD 453","Miss"
"2021 MLD 453","through Secretary Health Department and 2 others (2015 CLC 907), Government of the"
"2021 MLD 453","2018 PLC (CS) 22)"
"2021 MLD 453","2005 SCMR 340"
"2021 PLD 24","2017 PLC (C.S.) 940"
"2021 PLD 24","the contract. Constitutional petition"
"2021 PLD 24","PLD 2010 SC 676"
"2021 PLD 24","1999 PLC (C.S.) 60"
"2021 PLD 24","2016 SCMR 842"
"2021 PLD 24","2011 SCMR 1813"
"2021 PLD 24","PLD 2010 SC 969"
"2021 PLD 69","Respondents Nos. 4 and 5"
"2021 PLD 69","2002 SCMR 1544, CITATION, 9941, 9955), (Umat-ul-Hameed was the deceaseds second widow. The trial
2021 PLD 69|Muhammad Zafarullah Khan, deceased, for such, a question could"
